bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1004830017,1007238,524 Broadway,10012,Office,0,1902,181583,1,11,289.3,,,9.78,Office,"{'Data Center': 333.0, 'Retail': 14943.0, 'Other': 21385.0, 'Office': 144922.0}",1,12436093.4,,7026319.54,,3.37,,,3105786.5,,
1007840064,1014415,240 West 35th Street,10018,Office,90,1924,153463,1,17,131.9,,,4.85,Office,"{'Retail': 11329.0, 'Other': 6686.0, 'Office': 144424.0}",0,6063768.94,,1659180.65,,2.75,,,4453440.21,,
1008380008,1015920,65 West 36th Street,10018,Office,85,1924,63935,1,12,121.3,,,4.18,Office,"{'Retail': 7625.0, 'Office': 56310.0}",0,1647022.97,,2179094.12,,2.18,,,,,
1008380021,1015925,35 West 36th Street,10018,Office,90,1924,80715,1,12,112.3,,,3.71,Office,"{'Other': 7150.0, 'Office': 72682.0}",0,1838880.99,,2141179.43,,1.69,,,,,
3061357501,3253462,9921 4th Avenue,11209,Multifamily Housing,0,1987,78194,1,6,121.5,,,4.48,,,,,,,,,,,,,
1008380012,1015922,53 West 36th Street,10018,Office,97,1924,78426,1,12,97.2,,,3.36,Office,"{'Other': 5715.0, 'Office': 72711.0}",0,2130242.31,,,,3.37,,,,2241544.37,
1008630067,,180 Madison Avenue,10016,Office,0,1926,279667,1,24,185.2,,,5.37,,,,,,,,,,,,,
1004820016,1007214,72-78 Spring Street,10012,Office,88,1907,130000,1,12,166.8,,,5.28,Office,"{'Retail': 5200.0, 'Other': 4800.0, 'Office': 120000.0}",0,5588570.93,,1454.84,,5.33,,,2416981.01,,
1004990007,1007605,110 Greene Street,10012,Office,0,1910,142514,1,13,168.3,,,4.68,,,,,,,,,,,,,
1000460001,1001023,2 Wall Street,10005,Office,50,1932,192500,1,21,289.1,,,8.98,Office,"{'Data Center': 1204.0, 'Bank/Financial Institution': 17292.0, 'Office': 174004.0}",1,15047929.84,,,5961650.09,2.07,,,,,
1004867503,1007297,63 Greene Street,10012,Other,0,1900,56400,1,6,55.2,,,2.07,,,,,,,,,,,,,
4012630044,4029031,34-35 76th Street,11372,Multifamily Housing,0,1949,145366,1,6,105.9,,,4.04,Multifamily Home,,0,1976465.83,363,9541400,,,122,,,,
